CA(degrees)	CA(radians)	Volume(lt)
0	0	0.06362
1	0.017460317	0.063677275
2	0.034920635	0.063849069
3	0.052380952	0.064135299
4	0.06984127	0.064535819
5	0.087301587	0.065050428
6	0.104761905	0.065678871
7	0.122222222	0.06642083
8	0.13968254	0.067275935
9	0.157142857	0.068243757
10	0.174603175	0.069323812
11	0.192063492	0.070515559
12	0.20952381	0.071818402
13	0.226984127	0.073231689
14	0.244444444	0.074754714
15	0.261904762	0.076386717
16	0.279365079	0.078126881
17	0.296825397	0.079974339
18	0.314285714	0.081928169
19	0.331746032	0.083987397
20	0.349206349	0.086150999
21	0.366666667	0.088417896
22	0.384126984	0.090786964
23	0.401587302	0.093257024
24	0.419047619	0.095826851
25	0.436507937	0.098495172
26	0.453968254	0.101260665
27	0.471428571	0.104121963
28	0.488888889	0.107077653
29	0.506349206	0.110126277
30	0.523809524	0.113266333
31	0.541269841	0.116496279
32	0.558730159	0.119814527
33	0.576190476	0.123219453
34	0.593650794	0.126709391
35	0.611111111	0.130282636
36	0.628571429	0.133937448
37	0.646031746	0.137672049
38	0.663492063	0.141484629
39	0.680952381	0.145373342
40	0.698412698	0.149336311
41	0.715873016	0.153371628
42	0.733333333	0.157477355
43	0.750793651	0.161651528
44	0.768253968	0.165892153
45	0.785714286	0.170197214
46	0.803174603	0.17456467
47	0.820634921	0.178992457
48	0.838095238	0.18347849
49	0.855555556	0.188020667
50	0.873015873	0.192616867
51	0.89047619	0.197264951
52	0.907936508	0.201962769
53	0.925396825	0.206708156
54	0.942857143	0.211498935
55	0.96031746	0.216332921
56	0.977777778	0.22120792
57	0.995238095	0.226121731
58	1.012698413	0.23107215
59	1.03015873	0.236056969
60	1.047619048	0.241073977
61	1.065079365	0.246120966
62	1.082539683	0.251195727
63	1.1	0.256296056
64	1.117460317	0.261419754
65	1.134920635	0.266564628
66	1.152380952	0.271728495
67	1.16984127	0.276909179
68	1.187301587	0.282104519
69	1.204761905	0.287312363
70	1.222222222	0.292530578
71	1.23968254	0.297757044
72	1.257142857	0.302989659
73	1.274603175	0.308226341
74	1.292063492	0.313465027
75	1.30952381	0.318703678
76	1.326984127	0.323940275
77	1.344444444	0.329172826
78	1.361904762	0.334399364
79	1.379365079	0.339617949
80	1.396825397	0.344826668
81	1.414285714	0.350023638
82	1.431746032	0.355207008
83	1.449206349	0.360374954
84	1.466666667	0.365525689
85	1.484126984	0.370657455
86	1.501587302	0.375768532
87	1.519047619	0.380857231
88	1.536507937	0.385921901
89	1.553968254	0.390960927
90	1.571428571	0.395972729
91	1.588888889	0.400955767
92	1.606349206	0.405908536
